device_type         	string              	                    
sdk_ver             	string              	                    
channel_code        	string              	                    
app_ver             	string              	                    
sys_ver             	string              	                    
uid                 	string              	                    
open_udid           	string              	                    
launch_guid         	string              	                    
idfa                	string              	                    
idfv                	string              	                    
device_token        	string              	                    
event_code          	string              	                    
event_guid          	string              	                    
net                 	string              	                    
day_first           	string              	                    
day_before          	string              	                    
channel_origin      	string              	                    
event_time          	bigint              	                    
ctime               	bigint              	                    
client_ip           	string              	                    
datetime            	string              	                    
ip_server           	string              	                    
app_code            	string              	                    
attr                	string              	                    
mfwuuid             	string              	                    
lat                 	string              	                    
lng                 	string              	                    
uri                 	string              	                    
ref                 	string              	                    
puri                	string              	                    
hour                	string              	                    
umddid              	string              	                    
hardware_model      	string              	                    
android_id          	string              	                    
mfw_did             	string              	                    
province            	string              	                    
city                	string              	                    
isp                 	string              	                    
mfw_env             	string              	                    
brand               	string              	                    
dev_ver             	int                 	dev_ver             
abtest              	string              	                    
_launch_source      	string              	                    
_launch_source_data 	string              	                    
dt                  	string              	                    
catalog             	string              	                    
	 	 
# Partition Information	 	 
# col_name            	data_type           	comment             
	 	 
dt                  	string              	                    
catalog             	string              	                    
